epoch,lr-AdamW,remote_inlier@1,remote_inlier@10,remote_inlier@3,remote_inlier@5,remote_mean_error,remote_mean_matches,remote_median_error,remote_mixed_inlier@5,remote_mixed_median_error,remote_mixed_num_pairs,remote_num_matches,remote_num_pairs,remote_pair_inlier@1,remote_pair_inlier@10,remote_pair_inlier@3,remote_pair_inlier@5,step,train/forward_time_epoch,train/forward_time_step,train/loss_c_epoch,train/loss_c_step,train/loss_epoch,train/loss_f_epoch,train/loss_f_step,train/loss_rf_epoch,train/loss_rf_step,train/loss_step,train/num_matches_epoch,train/num_matches_step
,2.3437500000000002e-06,,,,,,,,,,,,,,,,,59199,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,59199,,0.09030258655548096,,2.7462217807769775,,,2.061446189880371,,0.4930039644241333,4.888382434844971,,6144.0
,2.3437500000000002e-06,,,,,,,,,,,,,,,,,59249,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,59249,,0.09058895707130432,,2.6093897819519043,,,2.0631778240203857,,0.5023304224014282,4.762262344360352,,6144.0
,2.3437500000000002e-06,,,,,,,,,,,,,,,,,59299,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,59299,,0.09030118584632874,,3.0708184242248535,,,2.0592777729034424,,0.500879168510437,5.219120025634766,,6144.0
,2.3437500000000002e-06,,,,,,,,,,,,,,,,,59349,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,59349,,0.09025321900844574,,2.8084018230438232,,,2.060279130935669,,0.491085410118103,4.9477105140686035,,6144.0
,2.3437500000000002e-06,,,,,,,,,,,,,,,,,59399,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,59399,,0.0900464653968811,,2.8813555240631104,,,2.05934739112854,,0.5020976066589355,5.030930995941162,,6144.0
,2.3437500000000002e-06,,,,,,,,,,,,,,,,,59449,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,59449,,0.09222962707281113,,2.6612937450408936,,,2.0601418018341064,,0.49651622772216797,4.8059234619140625,,6144.0
,2.3437500000000002e-06,,,,,,,,,,,,,,,,,59499,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,59499,,0.09095897525548935,,2.7604727745056152,,,2.062201499938965,,0.48550745844841003,4.8957414627075195,,6144.0
,2.3437500000000002e-06,,,,,,,,,,,,,,,,,59549,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,59549,,0.09020313620567322,,2.702303171157837,,,2.0614795684814453,,0.5155930519104004,4.867079734802246,,6144.0
,2.3437500000000002e-06,,,,,,,,,,,,,,,,,59599,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,59599,,0.09057354182004929,,2.6981844902038574,,,2.0592658519744873,,0.5018007755279541,4.847397804260254,,6144.0
,2.3437500000000002e-06,,,,,,,,,,,,,,,,,59649,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,59649,,0.09099263697862625,,2.861673593521118,,,2.059410333633423,,0.49098262190818787,5.000184535980225,,6144.0
,2.3437500000000002e-06,,,,,,,,,,,,,,,,,59699,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,59699,,0.08996844291687012,,2.976442813873291,,,2.05863356590271,,0.4983850121498108,5.121734619140625,,6144.0
,2.3437500000000002e-06,,,,,,,,,,,,,,,,,59749,,,,,,,,,,,,
